0x02ac1000, vexabc11_c2s_cio2strm
0x02ac2000, vexabc11_s2c_strm2cio
0x02ac3000, vexabc11_tm_ve32_tile_timer
0x02ac3800, vexabc11_gp_ve32_tile_ctrl
0x02ac4000, vexabc11_dmem_ve32_bp_cfg
0x02ac8000, vexabc11_pmem_ve32_bp_cfg
0x02ae8000, vexabc11_vmem_ve32_simd0
0x02af8000, vexabc11_lutmem_ve32_simd0
0x02b00000, vexabc12_sc_ve32_cell
0x02b01000, vexabc12_c2s_cio2strm
0x02b02000, vexabc12_s2c_strm2cio
0x02b03000, vexabc12_tm_ve32_tile_timer
0x02b03800, vexabc12_gp_ve32_tile_ctrl
0x02b04000, vexabc12_dmem_ve32_bp_cfg
0x02b08000, vexabc12_pmem_ve32_bp_cfg
0x02b28000, vexabc12_vmem_ve32_simd0
0x02b38000, vexabc12_lutmem_ve32_simd0
0x02b40000, vexabc13_sc_ve32_cell
0x02b41000, vexabc13_c2s_cio2strm
0x02b42000, vexabc13_s2c_strm2cio
0x02b43000, vexabc13_tm_ve32_tile_timer
0x02b43800, vexabc13_gp_ve32_tile_ctrl
0x02b44000, vexabc13_dmem_ve32_bp_cfg
0x02b48000, vexabc13_pmem_ve32_bp_cfg
0x02b68000, vexabc13_vmem_ve32_simd0
0x02b78000, vexabc13_lutmem_ve32_simd0
0x02b80000, vexabc14_sc_ve32_cell
0x02b81000, vexabc14_c2s_cio2strm
0x02b82000, vexabc14_s2c_strm2cio
0x02b83000, vexabc14_tm_ve32_tile_timer
0x02b83800, vexabc14_gp_ve32_tile_ctrl
0x02b84000, vexabc14_dmem_ve32_bp_cfg
0x02b88000, vexabc14_pmem_ve32_bp_cfg
0x02ba8000, vexabc14_vmem_ve32_simd0
0x02bb8000, vexabc14_lutmem_ve32_simd0
0x02bc0000, vexabc15_sc_ve32_cell
0x02bc1000, vexabc15_c2s_cio2strm
0x02bc2000, vexabc15_s2c_strm2cio
0x02bc3000, vexabc15_tm_ve32_tile_timer
0x02bc3800, vexabc15_gp_ve32_tile_ctrl
0x02bc4000, vexabc15_dmem_ve32_bp_cfg
0x02bc8000, vexabc15_pmem_ve32_bp_cfg
0x02be8000, vexabc15_vmem_ve32_simd0
0x02bf8000, vexabc15_lutmem_ve32_simd0
0x02c00000, vexabc16_sc_ve32_cell
0x02c01000, vexabc16_c2s_cio2strm
0x02c02000, vexabc16_s2c_strm2cio
0x02c03000, vexabc16_tm_ve32_tile_timer
